H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.530731261,1500,1691,1500,27.17069626,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1691,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.046,-0.001,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1470337,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
582.97,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
583.07,0.522465944,1500,1694,1500,27.22897339,0.00214547,0.018814323,-0.126654193,0.000367605,-0.000616212,-0.000900997,0.048,0,-0.996,2.333,28.01,-3.57,-0.52,945.1546021,,,,,,,,,,,,
