H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias,Aileron_bias,Elevator_bias,Rudder_bias,IAS_bias,Roll_bias,Pitch_bias,Yaw_bias,p_bias,q_bias,r_bias,a_x_bias,a_y_bias,a_z_bias,H_IMU_bias,VE_IMU_bias,VN_IMU_bias,VU_IMU_bias,H_baro_bias
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000761532,0.030444656,-0.123631418,0.000287984,0.000590142,-0.000368417,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.731,27.32,-3.42,0.36,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.363131136,1493,1740,1497,26.98798752,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1740,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1740,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.078,-0.014,-0.995,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4390259
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729
580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729,580.43,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729
580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729,580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729
580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729,580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729
580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729,580.38,-0.357493043,1493,1742,1497,27.17065048,0.000797579,0.030806188,-0.123807192,0.000234617,0.000917321,-0.000442925,0.089,0.003,-0.998,-1.813,27.39,-3.43,0.35,945.4771729
